Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,177,8,T:System.Uri,,,,,"var http = new HttpClient { BaseAddress = endpoint.AbsoluteUri.EndsWith('/') ? endpoint : new Uri(endpoint.AbsoluteUri + ""/"") };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,177,8,M:System.Uri.#ctor(System.String),,,,,"var http = new HttpClient { BaseAddress = endpoint.AbsoluteUri.EndsWith('/') ? endpoint : new Uri(endpoint.AbsoluteUri + ""/"") };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,177,8,P:System.Uri.AbsoluteUri,,,,,"var http = new HttpClient { BaseAddress = endpoint.AbsoluteUri.EndsWith('/') ? endpoint : new Uri(endpoint.AbsoluteUri + ""/"") };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,177,8,T:System.Uri,,,,,"var http = new HttpClient { BaseAddress = endpoint.AbsoluteUri.EndsWith('/') ? endpoint : new Uri(endpoint.AbsoluteUri + ""/"") };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,172,4,T:System.Uri,,,,,private static Uri? Endpoint(PaymentProcessorGatewayContext context)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,173,11,T:System.Uri,,,,,"Uri.TryCreate(context.ProcessorEndpointUrl, UriKind.Absolute, out var endpoint)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,173,11,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"Uri.TryCreate(context.ProcessorEndpointUrl, UriKind.Absolute, out var endpoint)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,158,8,T:System.Text.Json.JsonDocument,,,,,using var document = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,158,8,T:System.Text.Json.JsonDocument,,,,,using var document = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,119,8,T:System.Net.Http.HttpContent,,,,,var responseJson = await response.Content.ReadAsStringAsync(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,112,8,T:System.Uri,,,,,var endpoint = Endpoint(context);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,88,8,T:System.Text.Json.JsonDocument,,,,,using var document = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,88,8,T:System.Text.Json.JsonDocument,,,,,using var document = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,86,8,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,85,8,T:System.Uri,,,,,"using var response = await http.GetAsync($""settlements?fromDateUtc={Uri.EscapeDataString(fromDateUtc.ToString(""O""))}&toDateUtc={Uri.EscapeDataString(toDateUtc.ToString(""O""))}"", cancellationToken);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,85,8,T:System.Uri,,,,,"using var response = await http.GetAsync($""settlements?fromDateUtc={Uri.EscapeDataString(fromDateUtc.ToString(""O""))}&toDateUtc={Uri.EscapeDataString(toDateUtc.ToString(""O""))}"", cancellationToken);"
